EMPLOYER_NAME,INITIAL_APPROVALS,TOTAL_APPLICATIONS,MEDIAN_SALARY,TOP_JOB_TITLE,TOP_STATE,APPROVAL_RATE
Versatech Group,1,1,77189,Manufacturing Engineering Technician I,CA,100.0
S&S Activewear LLC,1,1,171370,Principal Software Engineer,IL,100.0
"S&R Professionals, LLC",1,1,103210,Software Developer,TX,100.0
"S&R IT, Inc.",1,1,103210,Software Developer,NY,100.0
S&R IT INC,1,1,123656,SOFTWARE DEVELOPER,NY,100.0
"Versatile Content, LLC",1,1,140000,Senior Software Engineer,OH,100.0
"Versatrim, LLC",1,1,100000,Lead Industrial Engineer,NC,100.0
Version IT Inc,1,1,105210,Software Engineer,PA,100.0
"S&H Systems, Inc.",1,1,90000,Business Intelligence Analyst,TN,100.0
"S&D Coffee, Inc.",1,1,113000,NetSuite Developer & System Administrator,NC,100.0
S&D ACCOUNTING SERVICES LLC,1,1,96408,SENIOR ACCOUNTANT,PA,100.0
"Ruvati USA, Inc.",1,1,48339,Digital Marketing Specialist,TX,100.0
Rutech Inc.,1,1,48610,Marketing Specialist,IL,100.0
Royalty Jewels LLC,1,1,68869,Business Analyst,NY,100.0
Rubicon Technology Management L.L.C.,1,2,225000,Associate,CO,50.0
"Ruiz Food Products, Inc.",1,1,180398,BI Architect,CA,100.0
Veterans Health Administration Western New York Health Care System,1,1,350000,Physician,NY,100.0
"Rudolph and Sletten, Inc.",1,1,115000,Project Manager,CA,100.0
RudderStack Inc.,1,1,210000,Sr. Engineering Manager,NJ,100.0
RudderStack Inc,1,1,225000,Principal Data Scientist,TX,100.0
"Veterans Pride Home Services, LLC",1,1,100000,Business Development Manager,MD,100.0
"Rubino & Company, Chartered",1,1,71136,Audit Staff Accountant,NJ,100.0
Vetmed Group LLC,1,1,173930,Teleradiologist,KY,100.0
"Rubicon Founders, LLC",1,1,265000,"Vice President, Investment Professional",TN,100.0
Vespa Group LLC,1,1,162847,Business Information Developer Consultant Sr.,IN,100.0
"Rubicon Carbon Management, LLC",1,1,275000,Head of Carbon Capital (Financial Analyst),NY,100.0
"Rtec-Instruments, Inc.",1,1,181397,Mechanical Engineer,CA,100.0
Rsquared Fund Management LLC,1,1,200000,Investment Principal,NJ,100.0
"Rozario Touma, P.C.",1,1,98114,Associate Attorney,NY,100.0
"Royston, Hanamoto, Alley & Abey",1,1,146000,Senior Associate 1,CA,100.0
Royston LLC,1,1,105976,Engineering Site Manager,AL,100.0
Royston Hanamoto Alley & Abey,1,1,76000,Designer 1,CA,100.0
Royma USA Inc,1,1,156000,Engineering Sales Manager,CA,100.0
RumbleOn Inc.,1,1,110000,Developer,TX,100.0
Run Computing Inc.,1,1,280000,Founding Software Engineer,CA,100.0
Veterans EZ Info Inc,1,1,160000,Software Applications Architect,VA,100.0
"RunAnywhere, Inc.",1,1,161637,Founding Engineer,CA,100.0
Vesper Energy Development LLC,1,1,230000,"Vice President, Corporate Development & M&A",UT,100.0
Vesta Corporation,1,1,140000,Integration Engineer,GA,100.0
Rushi Panchal DDS,1,1,52460,Business Analyst/Developer,CA,100.0
"Vestian Group, Inc.",1,1,147742,Portfolio Manager,IL,100.0
Vesuvius USA Corporation,1,1,80000,Automation Specialist,IL,100.0
VetCheckIndy LLC,1,1,150000,Associate Veterinarian,IN,100.0
Ruscilli Construction Co. LLC,1,1,122000,Project Manager,OH,100.0
"VetCor Professional Practices, LLC",1,1,120000,Associate Veterinarian [00091575],HI,100.0
"Rural Health Resources of Jackson County, Inc",1,1,69597,Medical Technologist,KS,100.0
Rural Health Resources of Jackson County Inc,1,1,67059,Medical Laboratory Scientist,KS,100.0
Runway Technologies Inc.,1,1,111966,Product Lead,NY,100.0
Runway Growth Capital LLC,1,1,160000,Principal,NY,100.0
"Runner Technologies, Inc.",1,1,87755,Senior Computer Systems Engineer,FL,100.0
Runergy USA Trading LLC,1,1,62400,Financial Analyst,AL,100.0
"Rundell Ernstberger Associates, Inc.",1,1,74200,Landscape Architect/Urban Designer,IN,100.0
"RunLLM, Inc.",1,1,190000,Senior Software Engineer,CA,100.0
Veteran Affairs Western New York health Care,1,1,350000,Physician-Hematology,NY,100.0
SBP CONSTRUCTION LLC,1,1,94016,IT SECURITY ADMINISTRATOR,NJ,100.0
"SBS America, Inc.",1,1,77418,Computer Programmer,TX,100.0
"Vdrive IT Solutions, Inc.",1,1,84469,Systems Engineer,FL,100.0
"Vacuum Engineering & Materials Co., Inc.",1,1,124384,Quality Engineer II,CA,100.0
SILVERLINING INTERIORS INC.,1,1,125000,Estimator,CA,100.0
SILVER FERN PRACTICE LLC,1,1,105000,Physical Therapist,MA,100.0
SILK SENSATION INC.,1,1,80600,Market Research Analyst,NJ,100.0
"Vachi AI, Co.",1,1,105560,Founding Product Manager,CA,100.0
Vaco LLC,1,1,137280,Sr. Data Engineer,FL,100.0
SILERGY TECHNOLOGY,1,1,170000,Analog Design Engineer,CA,100.0
SILA Solutions Group Inc.,1,1,76066,Financial  Data Analyst,VA,100.0
SIGNIN SOFT INC,1,1,89523,System Analyst,NJ,100.0
"SIGNATURE RENOVATIONS, LLC",1,1,210000,Director of Operations,MD,100.0
SIERRA SOFTWARE SOLUTIONS INC,1,1,106517,Software Developer,KS,100.0
SIGNATURE GLOBAL SOLUTIONS LLC,1,1,94800,DevOps Engineer,GA,100.0
"SIGNAPAY, LTD",1,1,102814,COMPUTER PROGRAMMER,MA,100.0
SIGMA SCI-TECH LLC,1,1,85342,Computer Systems Analyst,WI,100.0
"SIGMA FORENSICS AND ENGINEERING, LLC",1,1,100000,SENIOR FORENSIC MATERIALS EXPERT,MI,100.0
"SIGGA USA, LLC",1,1,90896,Senior Delivery Consultant,TX,100.0
"SIG SAUER, Inc.",1,1,167867,Sr. Oracle Applications Financial Systems Analyst,NH,100.0
Vahati Association,1,1,149760,AI Platform Architect & Product Engineering Lead,WA,100.0
"Vail & Park, P.C.",1,1,75000,Tax Accountant,TX,100.0
SILVERSPACE  INC,1,1,114400,BUSINESS ANALYST,NJ,100.0
Vaarahi IT Services LLC,1,1,128960,Senior Software Engineer,GA,100.0
"SIM Management Advisors, Inc.",1,1,150000,Computer Systems Architect,IL,100.0
Vaani Dental PLLC,1,1,192000,Associate Dentist,TX,100.0
SIPTEK Group Inc,1,1,106000,Work Day Consultant,TX,100.0
SIPHOX INC,1,1,148100,PRINCIPAL SIGNAL PROCESSING SOFTWARE ENGINEER,MA,100.0
"SINGULAR PEOPLE, LLC",1,1,116000,Software Developer,PA,100.0
SINGPOLI CAPITAL CORPORATION,1,1,94058,INVESTMENT ANALYST,CA,100.0
"VWR Management Services, LLC",1,1,141340,"Sr Business Systems Engineer - SAP Dev., Pricing & Invoice",PA,100.0
VXECUTE INC,1,1,126651,Senior Organizational Development  Manager,WA,100.0
SING IN CHINESE LLC,1,1,62000,Music Teacher,CA,100.0
"SINCLAIR TELEVISION GROUP, INC.",1,1,122100,Oracle Technical Analyst,MD,100.0
SIMPSON & SIMPSON MANAGEMENT CONSULTING INC.,1,1,138320,DESIGN ASSOCIATE,CA,100.0
SIMPLY ACTIVATE LLC,1,1,71677,BUSINESS OPERATIONS SPECIALIST,TX,100.0
VYUSOFT INC,1,1,79000,TEST ENGINEER,OH,100.0
SIMPLESOLVE INC.,1,1,110400,Implementation Analyst,NJ,100.0
VaPetro Technology LLC.,1,1,110000,Sr. Accountant,TX,100.0
SIMON DIAMONDS INC.,1,1,83200,MARKETING ANALYST,NY,100.0
SIMFONI USA INC.,1,1,90000,Analyst,IL,100.0
"SIMBA Chain, Inc.",1,1,144310,Software Engineer,IL,100.0
Vaagmee Tek Inc,1,1,90605,Business Analyst,TX,100.0
Vaipulu Financial Planning and Tax LLC,1,1,70741,Accountant,MO,100.0
"SIERRA MOUNTAIN CONSTRUCTION, INC. ",1,1,78790,Project Engineer,CA,100.0
"VWR International, LLC",1,1,119040,Data Scientist,FL,100.0
"SHOPWHOLESALE.COM, INC",1,1,89000,Analyst,CA,100.0
SHRIKON TECHNOLOGIES Inc.,1,1,84094,Software Developer,TX,100.0
Validyne Engineering Corporation,1,1,83000,Quality Engineer,CA,100.0
"SHRI SAROJ SUBWAYS, INC.",1,1,66706,Network and Computer Systems Administrator,TX,100.0
SHRI HARI RX CORP.,1,1,95680,Regulatory and Compliance Analyst,NY,100.0
"SHREEKARA INFOTECH, INC.",1,1,122700,Software Developer,VA,100.0
SHREEJI ENTERPRISE LLC,1,1,81286,Systems Analyst,TN,100.0
SHREE SIDDHIVINAYAK INC,1,1,166400,Machine Learning Engineer,TX,100.0
SHP LEGAL SERVICES LLC,1,1,200000,Senior Associate,NY,100.0
"Valine Technologies, Inc.",1,1,100901,.Net Developer,PA,100.0
"SIERRA BUSINESS SOLUTION, LLC.",1,1,99840,AGILE SCRUM MASTER / PROJECT MANAGER,TX,100.0
"SHL Medical US, LLC f/k/a SHL Pharma LLC",1,1,76000,Biomedical Engineer Design Engineer Device Development,FL,100.0
SHL Medical LLC,1,1,125000,Senior SAP Business Analyst,SC,100.0
Valjato Engineering P.C,1,1,148512,Structural Engineer,NY,100.0
SHL Medical Assembly & Services LLC,1,1,80038,Process Engineer (Manufacturing Sciences),FL,100.0
Valjato Engineering P.C.,1,1,162448,Structural Engineer,NY,100.0
SHIVAM JEWELS INC.,1,1,110240,DATA ANALYST,NY,100.0
SHIVAAMI LLC,1,1,82139,MARKETING SPECIALIST,NJ,100.0
SHIOM TECHNOLOGIES INC,1,1,105976,SOFTWARE ENGINEER,AZ,100.0
"SHURTAPE TECHNOLOGIES, LLC",1,1,120000,Senior Systems Business Analyst,NC,100.0
"Valid Management, LLC",1,1,101484,Business Apps Programmer II,TX,100.0
Valhalla Garden Center,1,1,66560,Water conservation consultant,NY,100.0
"Valero Refining Company - Tennessee, L.L.C.",1,1,187538,Staff Refinery Optimization Planning Engineer,TN,100.0
Vak It Systems Inc,1,1,101254,Programmer Analyst,CA,100.0
"Val Town, Inc.",1,1,135000,Technical Product Manager,NY,100.0
SIEMENS HEALTHCARE DIAGNOSTICS INC.,1,1,152404,Staff Software Engineer,NJ,100.0
SIELAFF CORPORATION,1,1,76500,PRODUCT ENGINEER,WI,100.0
"Vala Sciences, Inc.",1,1,85000,Research Associate,CA,100.0
Valassis Digital Corp.,1,1,138000,Staff Software Engineer I,TX,100.0
"SICK Product & Competence Center Americas, LLC",1,1,117822,Product Management Systems II,CA,100.0
SICK Inc.,1,1,110000,Systems Application Engineer II,MI,100.0
Valcourt Exterior Building Services of NJ LC,1,1,113700,Project Manager,NJ,100.0
"SICANGU OYATE HO, INC.",1,1,43580,Secondary School Teacher,SD,100.0
Valencia Technologies Corporation,1,1,170000,"VP of Operations, R&D and Program Management",CA,100.0
SIALINK SYSTEMS LLC,1,1,117749,Software Engineer,WA,100.0
"Valent Aerostructures, LLC",1,1,70902,Master Scheduler,MO,100.0
Valent North America LLC,1,1,230000,"Senior Director, Information Technology",IL,100.0
"Valerian Law, P.C.",1,1,124000,Litigation Fellow,CA,100.0
SI BULLDOGS INC,1,1,150000,Electrical Engineer,NY,100.0
Valero Energy Corporation,1,1,149947,Senior Business Systems Support Spec - Ref,TX,100.0
SIRA CONSULTING INC,1,1,80850,Business Analyst,OH,100.0
"SIRA Consulting, Inc",1,1,95243,Application Developer,IN,100.0
Vcarve Inc,1,1,126100,Java Software Developer,VA,100.0
VRChat Inc.,1,1,144000,Senior Data Scientist,CA,100.0
SL Techknow Inc.,1,1,127504,Principal Consultant,GA,100.0
SL TENNESSEE LLC,1,6,64407,PROCESS ENGINEER,TN,16.7
VOXOLOGY AI INC,1,1,107141,Head of Product,TX,100.0
VR Strategy Consultants Inc.,1,1,168000,Economic Trend Analyst,NY,100.0
VRB Energy USA Inc.,1,1,146000,Senior Power Electronics Engineer,AZ,100.0
SKYOVI LLC,1,1,120000,Infrastructure Implementation Manager,LA,100.0
SKYLITE LLC,1,1,111966,Data Engineer,NJ,100.0
SKYLAND GROUP INC,1,1,83200,ELECTRICAL ENGINEER,TX,100.0
SKY SOLUTIONS LLC,1,7,98904,SOFTWARE DEVELOPER,TX,14.3
SKOLNICK Architecture PLLC,1,1,78500,"Designer, Renovations",NY,100.0
VRG ONE LLC,1,1,85000,Budget Analyst,NJ,100.0
"VRGL, Inc.",1,1,105997,Senior NET Architect,TX,100.0
SKY DIAM INC.,1,1,104000,BUSINESS CONSULTANT/ANALYST,NY,100.0
"SKULogic, Inc. ",1,1,156750,Senior Principal Software Developer,GA,100.0
"SKT TECHNOLOGIES, INC.",1,1,80500,Accountant (Client Billing and Collections Supervisor),NY,100.0
"SKT America, Inc.",1,1,90000,Sr. Production Engineer,GA,100.0
SKR Soft Inc,1,1,107000,Sr Software Developer,IL,100.0
VRIT Tech Inc,1,1,140000,Vice President - Application Development,TX,100.0
"SLAC PRECISION EQUIPMENT, CORP.",1,1,107598,ELECTRICAL ENGINEER,OH,100.0
"VOXAI SOLUTIONS, INC",1,1,91000,Consultant,TX,100.0
VONAGE BUSINESS INC.,1,1,180374,Site Reliability Engineer III 8751439,CA,100.0
VONAGE BUSINESS INC,1,1,150000,Software Engineer 8703169,TX,100.0
"SM Advan Technology, Inc.",1,1,60000,Data Engineer,TX,100.0
"SLW Automotive, Inc.",1,1,98446,Operations Manager,MI,100.0
VNS CHOICE,1,1,140000,Senior Risk Adjustment Analyst,NY,100.0
VNVK LLC,1,1,87734,Product Designer,IL,100.0
SLSCO Ltd.,1,1,69118,Construction Project Engineer,GU,100.0
VOICE Charter School of New York,1,1,104213,Middle School Math Teacher,NY,100.0
"VOLT INFORMATION SCIENCE, INC.",1,1,151549,IT MANAGER,CA,100.0
SLS Controls Inc,1,1,145600,Field Engineering Manager,NY,100.0
"SLS Consultants, LLC",1,1,150000,Senior Project Manager,TX,100.0
SLPM IT SOLUTIONS INC,1,1,112923,Software Developer,TX,100.0
"VOLTAMP ELECTRICAL CONTRACTORS, INC",1,1,100000,Business Operations Data Analyst,NY,100.0
SLM Warehousing NJ1 Inc,1,1,69056,Logistics Operations Analyst,NJ,100.0
SLM Education Services LLC f/k/a SLM Nitrocollege LLC,1,1,121428,"Senior Associate, Product Management",TX,100.0
"SLIVER VR Technologies, Inc.",1,1,150000,Software Engineer,CA,100.0
SLIQ INFORMATION TECHNOLOGIES INC,1,1,122699,SOFTWARE DEVELOPER,VA,100.0
"SLIPSTREAM GROUP, INC.",1,1,78279,Field Outreach Manager,IL,100.0
SLCC Enterprise Inc.,1,1,67200,MARKET RESEARCH ANALYST,TX,100.0
"SKORUZ TECHNOLOGIES, INC",1,1,122000,IT Architect,CA,100.0
VRIZE Inc,1,1,286000,Senior Director Retail and Consumer Goods,TX,100.0
VVR DEVELOPERS LLC,1,1,87500,Construction Project Manager,NJ,100.0
VTCU Corp.,1,1,165000,Assistant Director of Sales,ID,100.0
"VSquare IT, Inc ",1,1,125000,Software Developer,MA,100.0
SK Commissary Inc.,1,1,93600,Financial Analyst,NY,100.0
VTCU Corp,1,1,116600,Senior Electrical Design Engineer,ID,100.0
SJ Computers LLC,1,1,106080,Digital Marketing Manager,MN,100.0
SJ Carlson Fire Protection Inc,1,1,52000,Designer,IL,100.0
SIVVAR TECHNOLOGIES LLC,1,1,60000,Chief Technology Officer,TX,100.0
SITECORE USA INC. ,1,1,157500,Senior DevOps Engineer,CA,100.0
SITE IQ LLC,1,1,120000,AIOT SOLUTIONS ENGINEER,VA,100.0
VTCU Corporation,1,1,77000,Process Engineer,ID,100.0
SKIM ANALYTICAL INC.,1,1,75451,Senior Market Research Analyst,GA,100.0
SITA CORP,1,1,151819,BUSINESS ANALYST,NJ,100.0
"SISU RE Fund 1, LLC",1,1,150426,Project Manager,CA,100.0
SISKIYOU HOSPITAL,1,1,133120,CLINICAL LABORATORY SCIENTIST,CA,100.0
SIS LLC,1,2,135200,Principal Software Engineer,GA,50.0
"VTX Holdings, Inc.",1,1,93264,Business Analyst,NY,100.0
SIRIUS GLOBAL SERVICES LLC,1,2,156056,"MANAGER, IT OPS PROCESS & METRICS",FL,50.0
VVA Drees & Sommer LLC,1,1,99549,Cost Manager,FL,100.0
VVM Infotech LLC,1,1,91520,Software Developer,NC,100.0
"SK Design Group, Inc.",1,1,70117,Civil Designer,CO,100.0
SK Electric Inc,1,1,64800,Electrical Engineer,TX,100.0
VSTech Solutions LLC,1,1,185000,Software Developer (SAP  BRIM Functional Consultant),TX,100.0
VSTRS LLC dba Tek Global,1,1,79851,SAP ISU Consultant,TX,100.0
"VRS Technologies, LLC",1,1,105997,Software Engineer,TX,100.0
VRTEK LLC,1,1,135000,Software Developer,MD,100.0
SKILLCYCLE INC.,1,1,110656,CONTROLLER,PA,100.0
SKILLCENTRIX LLC,1,1,98197,ASSOCIATE TECHNICAL CONSULTANT,MA,100.0
SKILLBODHI LLC,1,1,105997,DevOps Engineer,TX,100.0
"SKIDMORE, OWINGS & MERRILL LLP",1,1,116869,Architectural Associate (Project),NY,100.0
VSB TECH CONSULTING SERVICES  LLC,1,1,123656,Software Developer,NJ,100.0
"SKELLIG AUTOMATION US, LLC",1,1,157498,SENIOR AUTOMATION ENGINEER,NC,100.0
VSD Infotech LLC,1,1,85530,Computer Systems Engineer,TX,100.0
"SKC, Inc.",1,1,76357,Electronics Engineer,PA,100.0
"VSINGH CPA, LLC",1,1,69139,Staff Accountant,VA,100.0
VSK INFOSYSTEMS LLC,1,1,98200,Software Engineer,PA,100.0
VSK Infosystems LLC,1,1,84000,Computer Programmer,TX,100.0
"SK Stones BB, LLC.",1,1,92706,Database Architect,FL,100.0
"VSS Capital Partners, LLC.",1,1,100000,Analyst,NY,100.0
VSTRS LLC,1,1,160000,SAP Consultant,MA,100.0
SK International Corporation,1,1,72467,Project Engineer,MI,100.0
SHIMMER SMILE DENTISTRY LLC,1,1,83000,Dental Director,IL,100.0
SHI International Corp.,1,1,182208,Senior Manager “ Services Presales “ MSP & Support,NJ,100.0
"SHEVCHENKO SCIENTIFIC SOCIETY, INC",1,1,59675,Archivist,NY,100.0
SCP Medspa Services LLC ,1,1,205000,"Vice President, Corporate Development (Financial Manager)",TX,100.0
"SD&A Teleservices, Inc.",1,1,67142,Database Developer,NV,100.0
Vantage Transition LLC,1,1,275000,VP of Growth,NY,100.0
SCURRY COUNTY HOSPITAL DISTRICT,1,1,87006,PHYSICAL THERAPIST,TX,100.0
SCULPTOR CAPITAL LP,1,1,190000,Senior Software Engineer,NY,100.0
"Vantage, LLC",1,1,119159,Sr. Controls Engineer,MI,100.0
"VantageScore Solutions, LLC",1,1,98155,Senior Data Scientist,CA,100.0
Vantara Inc.,1,1,200000,Senior Data Scientist,CA,100.0
"SCS Capital Management, LLC",1,1,72176,"Analyst, Investment Analytics",MA,100.0
"Vantiq, Inc.",1,2,225000,Senior Technical Director for APAC and Latam,CA,50.0
"Variation Reduction Solutions, Inc.",1,1,85000,Project Engineer,MI,100.0
Vanvi Technologies LLC,1,1,101235,Azure Data Engineer,NJ,100.0
Varad Software Solutions LLC,1,1,79581,Full Stack Software Developer,GA,100.0
SCO Family of Services,1,1,103917,Technical Project Manager,NY,100.0
"SCM Industries, LLC",1,1,125000,Software Engineer,VA,100.0
"SCIENTIFIC CERTIFICATION SYSTEMS, INC.",1,1,85280,Life Cycle Associate,AZ,100.0
Varenya Inc.,1,1,89502,Technical Analyst: Microsoft Dynamics 365,SC,100.0
"SCIENCE OF SKINCARE, LLC",1,1,110000,Operations Project Manager (Chemical Engineer)	,CA,100.0
SCIENCE AND TECHNOLOGY CORPORATION,1,1,135000,Research Scientist/Engineer,CA,100.0
"SDC Capital Partners, LLC",1,2,169000,Senior Associate,NY,50.0
"Vantage Specialty Chemicals, Inc.",1,1,310000,"Sr. VP, Personal Care Business Management",IL,100.0
"Vantage Robotics, Inc.",1,1,175157,Head of Quality and Performance Engineering,CA,100.0
"Vantage Robotics, Inc",1,1,111363,Jr. Software Application Engineer,CA,100.0
"Vanderbilt Integrated Providers, LLC",1,1,291600,Physician - Nephrology,TN,100.0
SECO VACUUM Technologies LLC,1,1,59285,Mechanical Engineer,PA,100.0
Vanderlande Industries Inc.,1,1,137333,"Senior Sales Engineer, Pricing Specialist",GA,100.0
SEASKY LOGISTICS INC,1,1,92560,Web/App Developer,CA,100.0
"SEAH STEEL USA, LLC",1,1,125000,ELECTRICAL ENGINEER,TX,100.0
SEACOR MARINE LLC,1,1,127837,Application Developer,TX,100.0
Vanguard Care LLC,1,1,77022,Business Development Specialist,TX,100.0
Vanguard Electronics,1,1,88566,Design Engineer,CA,100.0
Vanguard University of Southern California,1,1,94994,International Scholar in Residence (International Affairs),CA,100.0
"Vanir Construction Management, Inc.",1,1,130000,Project Manager,CA,100.0
SDVI Corporation,1,1,168958,Technical Account Manager,CA,100.0
"SDV Office Systems, LLC",1,1,56000,Business Development Associate Manager,NC,100.0
"SDR Engineering, Inc.",1,1,74506,Project Engineer,FL,100.0
SDLC Technologies Inc.,1,1,71656,Computer Programmer,CA,100.0
Vannam Technologies LLC,1,1,110000,Senior Software Engineer FullStack,NY,100.0
"SDI, Inc.",1,1,75000,Business Intelligence Analyst,CA,100.0
Vantage Airport Group (US) Ltd.,1,1,152150,"Manager, Environment and Sustainability",NY,100.0
SCIEGEN PHARMACEUTICALS INC.,1,1,67400,Safety Officer,NY,100.0
Varick SP LLC,1,1,75254,Creative Coordinator,NY,100.0
SHENANIGAN'S INC,1,1,52000,OPERATIONS MANAGER,MD,100.0
Vay Technology Inc.,1,1,120000,"Software Engineer, Fleet Support Operations",NV,100.0
SCG America Construction Inc.,1,1,123427,Financial Analyst,NY,100.0
SCEPTRE INC,1,1,110004,Business Operations Research Analyst,CA,100.0
SCATTERFIT INC,1,1,112923,Technical Architect,TX,100.0
"SCARBOROUGH FITNESS, LLC",1,1,73965,Exercise Physiologist,WA,100.0
SCAN Health Plan,1,1,106200,Business Analyst Sr. - BI,CA,100.0
SCAN Health,1,1,281800,Vice President Corporate Strategy,CA,100.0
"Vault Advisors, LLC",1,1,125000,"Managing Director, Investment Banking Healthcare IT",CT,100.0
"Vault Advisors, LLC.",1,1,125000,"Managing Director, Investment Banking Healthcare IT",CT,100.0
SCALIAN CORPORATION,1,1,110000,Project Management Specialist,NC,100.0
"SCI Financial Services, Inc.",1,1,77376,Software QA Analyst II,OH,100.0
"VaynerMedia, LLC",1,1,83000,"Media Buying Specialist, SEM",NY,100.0
Vayu Global Health Innovations,1,1,86757,Finance Manager [00089143],MA,100.0
"SCALAR CONSULTING GROUP, LLC.",1,1,87360,Traffic Services Specialist,FL,100.0
Vayu Technology Corp,1,1,130000,Software Developer,CA,100.0
"SC&H Group, Inc.",1,1,125000,Manager BPM,TN,100.0
Vayusoft Solutions Inc.,1,1,104312,Systems Developer /Quality Assurance Analyst/Test Engineer,MD,100.0
SBoT Inc.,1,1,75088,Analyst,SC,100.0
Vazyme International LLC,1,1,79000,Account Sales Representative,CA,100.0
SCH Professional Corporation,1,1,250000,Hospitalist,OH,100.0
"SCH Services, Inc dba SullivanCotter, Inc.",1,1,183546,Data Scientist - Lead,MN,100.0
"SCHF Management, L.P.",1,1,150000,Accounting Manager,CA,100.0
"SCHILTZ DDS MANCHESTER, PLLC",1,1,208000,Dentist,NH,100.0
SCI Engineering Inc.,1,1,80500,Project Engineer,MS,100.0
SCHWAB ENGINEERING,1,1,96720,MECHANICAL ENGINEER,CA,100.0
SCHOOL OF SCIENCE AND TECHNOLOGY - SUGAR LAND,1,1,53540,COMPUTER TEACHER,TX,100.0
SCHOOL OF SCIENCE AND TECHNOLOGY - SAN ANTONIO,1,1,51960,COMPUTER TEACHER,TX,100.0
"Varitronics Consulting, Inc.",1,1,200000,Studio Director/Architect,NJ,100.0
Variyos Technology Solutions Inc,1,1,125000,Technical Architect,TX,100.0
SCHOOL OF SCIENCE AND TECHNOLOGY - CHAMPIONS,1,1,53540,COMPUTER TEACHER,TX,100.0
SCHOOL OF SCIENCE AND TECHNOLOGY - ADVANCEMENT,1,1,53540,COMPUTER TEACHER,TX,100.0
"Varnar, Inc.",1,1,136074,Computer Systems Analyst,CA,100.0
